,nombre,porcentaje ganados en general,porcentaje empatados en general,porcentaje perdidos en general,proporcion puntos en general,"porcentaje mas 1,5 en general","porcentaje mas 2,5 en general","porcentaje mas 3,5 en general","porcentaje mas 4,5 en general",proporcion goles totales en general,proporcion goles marcados en general,proporcion goles encajados en general,"porcentaje mas 0,5 marcados en general","porcentaje mas 1,5 marcados en general","porcentaje mas 2,5 marcados en general","porcentaje mas 0,5 encajados en general","porcentaje mas 1,5 encajados en general","porcentaje mas 2,5 encajados en general",proporcion amarillas en general,proporcion rojas en general,proporcion cambios en general,proporcion posesion en general,proporcion total tiros en general,proporcion corners a favor en general,proporcion corners en contra en general,proporcion cambios lesionados en general,proporcion cambios amarillas en general,proporcion cambios goleadores en general,proporcion cambios asistentes en general,media cambios minutos en general,proporcion cambios delanteros a centrocampistas en general,proporcion cambios delanteros a defensas en general,proporcion cambios centrocampistas a delanteros en general,proporcion cambios centrocampistas a defensas en general,proporcion cambios defensas a delanteros en general,proporcion cambios defensas a centrocampistas en general,proporcion cambios antes descanso en general,proporcion cambios 45 a 60 en general,proporcion cambios 61 a 75 en general,proporcion cambios 76 a final en general,proporcion cambios alineacion defensa en general,proporcion cambios alineacion centrocampista en general,proporcion cambios alineacion delantero en general
10,West-Ham-United,0,1,0,0,0,-3,2,-5,1,0,1,-6,-1,7,7,2,0,-1,-4,5,2,-3,0,1,1,7,-1,3,-8,2,1,4,-6,-7,-5,4,8,8,-8,2,1,10
11,Crystal-Palace-Fc,0,0,5,0,-2,-7,2,4,-3,-1,0,0,-2,3,-3,6,3,-2,1,-7,-3,3,5,5,-7,-5,-1,-2,11,4,-1,-1,9,2,5,-4,-8,-7,10,-3,-6,-5
12,Afc-Bournemouth,0,0,7,0,10,9,10,7,10,6,9,0,5,5,-1,9,7,2,-3,-2,-1,-2,0,8,6,-3,8,9,7,-2,11,-5,-6,6,-4,9,-4,-1,7,0,-2,5
13,Newcastle-United-Fc,0,9,5,0,-1,-2,-6,-3,-6,-2,1,-1,-2,-1,1,4,-1,-1,2,-3,-5,1,0,11,8,5,-2,2,9,-6,9,-5,-4,13,4,-3,1,-3,5,9,-5,3
14,Burnley-Fc,0,4,10,0,6,6,11,5,8,1,10,1,6,-1,6,7,10,9,-2,-5,-3,-5,-5,13,4,1,-3,-3,7,-1,11,4,1,3,4,-3,-3,0,-2,-3,-1,2
15,Southampton-Fc,0,15,8,0,8,13,9,7,8,1,10,8,1,2,10,11,12,14,10,3,0,8,7,10,2,9,2,1,2,10,0,2,6,11,8,5,10,4,4,4,3,10
16,Brighton-Amp-Hov,0,14,13,0,-3,0,2,-2,-2,0,10,1,-1,-1,12,10,3,8,14,-1,0,-2,-2,9,14,6,0,1,1,-1,-1,2,1,-2,-1,15,5,6,-1,1,3,12
17,Cardiff-City-Fc,0,0,15,0,1,5,4,17,5,-1,15,-1,1,-1,6,15,15,8,0,8,-2,1,2,17,5,13,-1,-2,11,4,-1,15,3,-2,3,6,4,11,14,-1,12,16
18,Fulham,0,2,17,0,12,8,11,15,13,1,18,1,0,2,17,18,17,14,6,8,9,7,1,15,7,11,4,2,1,7,16,7,14,16,14,6,17,1,4,16,10,-1
19,Huddersfield-Town-Fc,0,6,19,0,1,2,2,8,3,0,18,0,0,0,19,18,19,4,18,8,9,2,3,3,2,18,0,1,3,1,8,18,12,14,17,19,16,7,4,13,15,13
