id_jugador,nombre,posicion,id_equipo
136,Aitor Paredes,Defensa,4
137,Dani Vivian,Defensa,4
138,Hugo Rincón,Defensa,4
139,Imanol García,Defensa,4
140,Iñigo Lekue,Defensa,4
141,O. De Marcos,Defensa,4
142,U. Eguiluz,Defensa,4
143,Yeray,Defensa,4
144,Yuri,Defensa,4
145,Ander Herrera,Centrocampista,4
146,Beñat Prados,Centrocampista,4
147,Dani García,Centrocampista,4
148,I. Ruiz De Galarreta,Centrocampista,4
149,Iker Muniain,Centrocampista,4
150,M. Jauregizar,Centrocampista,4
151,Mikel Vesga,Centrocampista,4
152,Oihan Sancet,Centrocampista,4
153,Unai Gómez,Centrocampista,4
154,A. Olabarrieta,Delantero,4
155,Adu Ares,Delantero,4
156,Álex Berenguer,Delantero,4
157,Asier Villalibre,Delantero,4
158,G. Guruzeta,Delantero,4
159,I. Williams,Delantero,4
160,Nico Williams,Delantero,4
161,Raúl García,Delantero,4
162,Aitor Fraga,Portero,5
163,Álex Remiro,Portero,5
164,Gaizka Ayesa,Portero,5
165,Unai Marrero,Portero,5
166,A. Elustondo,Defensa,5
167,Á. Odriozola,Defensa,5
168,Aihen Muñoz,Defensa,5
169,Hamari Traoré,Defensa,5
170,Igor Zubeldia,Defensa,5
171,Iñaki Rupérez,Defensa,5
172,Javi Galán,Defensa,5
173,Jon Aramburu,Defensa,5
174,Jon Martín,Defensa,5
175,Jon Pacheco,Defensa,5
176,K. Tierney,Defensa,5
177,R. Le Normand,Defensa,5
178,B. Turrientes,Centrocampista,5
179,Brais Méndez,Centrocampista,5
180,J. Magunazelaia,Centrocampista,5
181,M. Zubimendi,Centrocampista,5
182,Mikel Merino,Centrocampista,5
183,Olasagasti,Centrocampista,5
184,Pablo Marín,Centrocampista,5
185,Urko González,Centrocampista,5
186,A. Barrenetxea,Delantero,5
187,A. Zakharyan,Delantero,5
188,Alberto Dadie,Delantero,5
189,André Silva,Delantero,5
190,Bryan Fiabema,Delantero,5
191,C. Fernández,Delantero,5
192,M. Merquelanz,Delantero,5
193,M. Oyarzabal,Delantero,5
194,S. Becker,Delantero,5
195,Take Kubo,Delantero,5
196,Umar Sadiq,Delantero,5
197,Claudio Bravo,Portero,6
198,Fran Vieites,Portero,6
199,Guilherme,Portero,6
200,Rui Silva,Portero,6
201,Abner Vinícius,Defensa,6
202,Chadi Riad,Defensa,6
203,G. Pezzella,Defensa,6
204,Héctor Bellerín,Defensa,6
205,J. Miranda,Defensa,6
206,Marc Bartra,Defensa,6
207,Nobel Mendy,Defensa,6
208,Pablo Busto,Defensa,6
209,R. Visus,Defensa,6
210,Sokratis,Defensa,6
211,X. Pleguezuelo,Defensa,6
212,Y. Sabaly,Defensa,6
213,Dani Pérez,Centrocampista,6
214,Enrique Fernández,Centrocampista,6
215,Guido Rodríguez,Centrocampista,6
216,Isco,Centrocampista,6
217,Johnny Cardoso,Centrocampista,6
218,Marc Roca,Centrocampista,6
219,Nabil Fekir,Centrocampista,6
220,Pablo Fornals,Centrocampista,6
221,Rodri,Centrocampista,6
222,Sergi Altimira,Centrocampista,6
223,W. Carvalho,Centrocampista,6
224,Aitor Ruibal,Delantero,6
225,Assane Diao,Delantero,6
226,Ayoze,Delantero,6
227,C. Bakambu,Delantero,6
228,Chimy Ávila,Delantero,6
229,Ez Abde,Delantero,6
230,Willian José,Delantero,6
231,Cristian Rivero,Portero,7
232,G. Mamardashvili,Portero,7
233,Jaume Doménech,Portero,7
234,C. Mosquera,Defensa,7
235,Cenk Özkacar,Defensa,7
236,D. Foulquier,Defensa,7
237,Jesús Vázquez,Defensa,7
238,José Gayà,Defensa,7
239,M. Diakhaby,Defensa,7
240,Rubén Iranzo,Defensa,7
241,Thierry Correia,Defensa,7
242,Yarek,Defensa,7
243,André Almeida,Centrocampista,7
244,Hugo Guillamón,Centrocampista,7
245,Javi Guerra,Centrocampista,7
246,Martín Tejón,Centrocampista,7
247,Pablo Gozálbez,Centrocampista,7
248,Pepelu,Centrocampista,7
249,S. Amallah,Centrocampista,7
250,Alberto Marí,Delantero,7
251,David Otorbi,Delantero,7
252,Diego López,Delantero,7
253,Fran Pérez,Delantero,7
254,Hugo Duro,Delantero,7
255,Hugo González,Delantero,7
256,Marco Camus,Delantero,7
257,Mario Domínguez,Delantero,7
258,Peter,Delantero,7
